Регион,Округ,Население,Бюджет,Бюджет МиММ,Бюджет ПВ,Бюджет ВД,Бюджет ПиП,Бюджет других расходов,Общее количество организаций,Кол-во организаций МиММ,Кол-во организаций ПВ,Кол-во организаций ВД,Кол-во организаций ПиП,Кол-во других организаций,Общее количество вовлеченной молодежи,Численность МиММ,Численность ПВ,Численность ВД,Численность ПиП,Численность других отделений,M1 Вовлеченность,Бюджет на человек,M2 Вовлеченность,M3 Итоговая,Уровень вовлеченности населения,Уровень финансирования населения,В ТВ-сюжетах,В интернет-СМИ,В печатных СМИ,Кол-во новостей,Кол-во просмотров сайта,Кол-во публикаций в соц. сетях,Кол-во печатных статей,Кол-во электронных статей,Общее кол-во упоминаний,Финансирование,Число подписчиков сообщества,Число уникальных пользователей сайта,Финансирование за прошлый год,"Финансирование, тенденция",Кол-во просмотров сайта за прошлый год,"Кол-во просмотров сайта, тенденция",Число подписчиков сообщества за прошлый год,"Число подписчиков сообщества, тенденция",Кол-во человек на одну организацию,Уровень загруженности организаций в регионе
Курская область,ЦФО,274074.0,77559276.0,7142957.0,16115100.0,11117098.0,516950.0,42667171.0,236.0,36.0,70.0,50.0,0.0,80.0,648792.0,63664.0,119868.0,127172.0,178.0,337910.0,0.09468858775367237,2988.6032811748605,2.8043797606285104,0.18319178932575414,Средний,Низкий,179.0,256.0,117.0,140.0,21645.0,4094.0,156.0,153.0,552.0,574751.0,16319.0,5218.0,523123.7811499523,+9.0%,20070.833180916034,+7.3%,15558.580824797908,+4.7%,2749.1186440677966,Высокий
Ленинградская область,СЗФО,515253.0,619920930.0,4709290.0,44778791.0,8492279.0,1651000.0,560289570.0,3596.0,58.0,1124.0,738.0,0.0,1676.0,716733.0,18876.0,356266.0,220974.0,646.0,119971.0,0.055641248085891784,21623.14732264316,0.38760215750360255,0.09731297762051136,Низкий,Низкий,36.0,2342.0,251.0,51.0,67420.0,1661.0,2.0,92.0,2629.0,1142377.0,12424.0,24706.0,1039762.5680316156,+9.0%,62516.77399202398,+7.3%,11845.076791916736,+4.7%,199.3139599555061,Низкий
Липецкая область,ЦФО,278344.0,78229848.0,218000.0,20297829.0,843307.0,0.0,56870712.0,2120.0,12.0,716.0,466.0,0.0,926.0,1213619.0,11414.0,684434.0,511408.0,744.0,5619.0,0.17440562756876382,1611.499325570875,5.200857624501763,0.3374937357896379,Высокий,Низкий,49.0,284.0,325.0,51.0,53244.0,1213.0,47.0,123.0,658.0,263500.0,22466.0,27385.0,239831.0160974273,+9.0%,49371.745986818816,+7.3%,21419.148036638875,+4.7%,572.4617924528302,Средний
Магаданская область,ДФО,36308.0,205109257.0,0.0,4330400.0,6280888.0,328900.0,194169069.0,239.0,0.0,108.0,58.0,0.0,73.0,165103.0,0.0,92190.0,75050.0,186.0,-2323.0,0.18189159413903272,31057.772572273065,0.26985768328270465,0.21731011716542692,Высокий,Низкий,70.0,630.0,38.0,90.0,4202.0,1961.0,63.0,97.0,738.0,665100.0,10000.0,1563.0,605357.1491703943,+9.0%,3896.4029118137755,+7.3%,9534.028325753972,+4.7%,690.8075313807532,Средний
Москва,ЦФО,306209.0,1291496599.5,0.0,124092862.0,17315700.0,6549000.0,1143539037.5,1799.0,12.0,306.0,1144.0,0.0,337.0,4089969.0,28900.0,1401766.0,1359610.0,2512.0,1297181.0,0.5342715596210431,7894.293327773388,1.0616755935313942,0.7108293956315435,Высокий,Низкий,283.0,2418.0,37.0,63.0,110880000.0,37401.0,0.0,0.0,2738.0,0.0,162790.0,1151954.0,0.0,+9.0%,102816076.83529544,+7.3%,155204.4471149489,+4.7%,2273.468037798777,Высокий
Московская область,ЦФО,2033019.0,399561214.0,1853367.0,52896145.0,26603507.0,1010750.0,317197445.0,2818.0,44.0,1252.0,926.0,0.0,596.0,4571261.0,9948.0,2382278.0,2548740.0,1998.0,-371703.0,0.08994034979505848,2185.1804895848213,3.835462834407394,0.17575920371228598,Средний,Низкий,67.0,598.0,105.0,0.0,39780.0,493.0,19.0,0.0,770.0,0.0,20122.0,493.0,0.0,+9.0%,36886.93665681865,+7.3%,19184.371797082145,+4.7%,1622.165010645848,Высокий
Мурманская область,СЗФО,203518.0,790825534.0,614737.0,6176469.0,27624155.0,373471.0,756036702.0,808.5,10.0,484.0,544.0,0.0,-229.5,738686.0,424.0,88720.0,122344.0,32.0,527166.0,0.14518342357924113,26764.604107834723,0.31314412574559014,0.1983879708581596,Высокий,Низкий,23.0,70.0,1.0,3.0,8364.0,1638.0,1.0,14.0,94.0,503535.0,3640.0,43104.0,458304.78440462257,+9.0%,7755.714886818281,+7.3%,3470.386310574446,+4.7%,913.6499690785405,Высокий
Ненецкий автономный округ,СЗФО,12114.0,22510081.5,3940520.0,879500.0,1789065.0,214850.0,15686146.5,195.0,16.0,96.0,54.0,0.0,29.0,28709.0,802.0,16114.0,4472.0,178.0,7143.0,0.09479610368169061,19601.937981120904,0.4275688741769742,0.1551859908131544,Средний,Низкий,126.0,781.0,362.0,1.0,122133.0,2032.0,362.0,130.0,1269.0,307600.0,7769.0,23183.0,279969.7174632586,+9.0%,113250.68463316323,+7.3%,7406.986606278261,+4.7%,147.22564102564104,Низкий
Нижегородская область,ПФО,826689.0,325231279.0,1133865.0,24065800.0,13547547.0,2546717.0,283937350.0,4516.0,66.0,2528.0,1282.0,0.0,640.0,2069768.0,4714.0,468510.0,157264.0,452.0,1438828.0,0.10014735892215816,3928.3542769044648,2.133508834360807,0.19131438010993787,Средний,Низкий,118.0,1106.0,31.0,49.0,1157040.0,1389.0,132.0,0.0,1255.0,340000.0,49658.0,274397.0,309459.37560958357,+9.0%,1072892.4381449337,+7.3%,47344.07786002908,+4.7%,458.3188662533215,Средний
Новгородская область,СЗФО,145700.0,36649767.0,323401.0,7863367.0,5261990.0,651985.0,22549024.0,22.0,4.0,18.0,4.0,0.0,-4.0,453397.0,4260.0,73082.0,53656.0,664.0,321735.0,0.12447412491420728,2020.8430470426579,4.147367390327478,0.24169432539424415,Высокий,Низкий,141.0,358.0,140.0,111.0,121179.0,2378.0,71.0,123.0,639.0,503535.0,14174.0,24471.0,458304.78440462257,+9.0%,112366.06579026215,+7.3%,13513.53174892368,+4.7%,20608.954545454544,Высокий
