Регион,Округ,Население,Бюджет,Бюджет МиММ,Бюджет ПВ,Бюджет ВД,Бюджет ПиП,Бюджет других расходов,Общее количество организаций,Кол-во организаций МиММ,Кол-во организаций ПВ,Кол-во организаций ВД,Кол-во организаций ПиП,Кол-во других организаций,Общее количество вовлеченной молодежи,Численность МиММ,Численность ПВ,Численность ВД,Численность ПиП,Численность других отделений,M1 Вовлеченность,Бюджет на человек,M2 Вовлеченность,M3 Итоговая,Уровень вовлеченности населения,Уровень финансирования населения
Самарская область,ПФО,814547.0,284300278.0,2247190.0,29795173.0,4629850.0,3000.0,247625065.0,2288.0,26.0,594.0,924.0,0.0,744.0,796903.0,3128.0,348000.0,141500.0,52.0,304223.0,0.039133555215352826,8918.911021793117,0.9397087305608894,0.07513803608227043,Низкий,Низкий
Санкт-Петербург,СЗФО,1421953.0,1265498456.0,25366485.0,173699279.0,73690297.0,14598926.0,978143469.0,2026.0,2.0,3418.0,66.0,0.0,-1460.0,2890854.0,83898.0,1551110.0,1321436.0,6058.0,-71648.0,0.08132066249728366,10943.984511151375,0.7658251476630593,0.14702878210128326,Средний,Низкий
Саратовская область,ПФО,627283.0,66144942.0,10000.0,4884322.0,1160000.0,0.0,60090620.0,35398.0,2.0,68282.0,484.0,0.0,-33370.0,806646.0,102.0,290180.0,274378.0,10.0,241976.0,0.05143745327069281,2049.999070224113,4.088381636855316,0.10159668083085382,Низкий,Низкий
Сахалинская область,ДФО,129499.0,192208761.0,20292056.0,28908560.0,33174682.0,1506572.0,108326891.0,810.0,6.0,254.0,306.0,0.0,244.0,342729.0,7584.0,212912.0,56380.0,206.0,65647.0,0.1058630568575819,14020.462304036133,0.597781897096361,0.17987201813966944,Средний,Низкий
Свердловская область,УФО,1118951.0,794015223.0,51200.0,55714472.0,9236274.0,605676.0,728407601.0,4101.0,108.0,1854.0,1202.0,0.0,937.0,3144009.0,109916.0,1200248.0,386784.0,1318.0,1445743.0,0.1123913022107313,6313.716205965059,1.3274556981760415,0.20723656680881242,Средний,Низкий
Севастополь,ЮФО,140295.0,57910607.0,0.0,8395933.0,3625028.0,362805.0,45526841.0,93.0,0.0,38.0,50.0,0.0,5.0,406004.0,2004.0,354758.0,31632.0,30.0,17580.0,0.11575722584553975,3565.8889444438973,2.3503756524256496,0.22064744979226145,Высокий,Низкий
Смоленская область,ЦФО,235757.0,27279927.0,139300.0,5960477.0,3738074.0,0.0,17442076.0,1008.0,12.0,518.0,170.0,0.0,308.0,436864.0,14626.0,153874.0,90628.0,4.0,177732.0,0.07412106533422126,1561.1223973593612,5.368687662448185,0.14622334492708933,Средний,Низкий
Ставропольский край,СКФО,802825.0,30325203.0,350100.0,4060805.0,1187652.0,137420.0,24589226.0,3605.0,56.0,1808.0,636.0,0.0,1105.0,1422464.0,2898.0,1374654.0,302802.0,76.0,-257966.0,0.07087292996605736,532.9696041516693,15.725434413122123,0.141109892032418,Средний,Низкий
Тамбовская область,ЦФО,244583.0,116369491.0,70802.0,5426972.0,2652139.0,54000.0,108165578.0,16524.0,96.0,3514.0,546.0,0.0,12368.0,809010.0,11962.0,274846.0,151380.0,52.0,370770.0,0.13230845970488544,3596.0461242753486,2.3306649204794763,0.25040196390085756,Высокий,Низкий
Тверская область,ЦФО,308795.0,116593018.0,76457.0,10421508.0,676319.0,250000.0,105168734.0,1235.0,20.0,1344.0,230.0,0.0,-359.0,567299.0,1098.0,140284.0,137500.0,640.0,287777.0,0.07348551628102787,5138.076129166454,1.6311900298048732,0.14063537400757195,Средний,Низкий
Томская область,СФО,319907.0,49610452.0,79300.0,4696234.0,5846477.0,113803.0,38874638.0,6627.0,10.0,3272.0,3106.0,0.0,239.0,391003.0,5844.0,107480.0,103384.0,4002.0,170293.0,0.048889583535214914,3171.9994475745707,2.6422383398216853,0.09600281793629782,Низкий,Низкий
Тульская область,ЦФО,351901.0,500757314.0,0.0,36521362.0,1601288.0,105490.0,462529174.0,1208.0,10.0,332.0,658.0,0.0,208.0,1020761.0,4300.0,155338.0,96654.0,2882.0,761587.0,0.11602820111338133,12264.313438699166,0.6833793506800409,0.1983751005592844,Высокий,Низкий
Тюменская область,УФО,1083308.0,426838330.0,1712800.0,49581359.0,2445900.0,1904000.0,371194271.0,3494.0,0.0,5820.0,94.0,0.0,-2420.0,1542704.0,3644.0,861034.0,498640.0,10.0,179376.0,0.05696271051261506,6917.048409805121,1.2116697842383417,0.10881006980670255,Низкий,Низкий
Тюменская область,УФО,442892.0,426838330.0,1712800.0,49581359.0,2445900.0,1904000.0,371194271.0,3494.0,0.0,5820.0,94.0,0.0,-2420.0,1542704.0,3644.0,861034.0,498640.0,10.0,179376.0,0.13933003982912312,6917.048409805121,1.2116697842383417,0.2499215711063523,Высокий,Низкий
